Date,USDX,GOLD
"Oct 20, 2016",98.31,1267.85
"Oct 19, 2016",97.94,1267.9
"Oct 18, 2016",97.9,1260.8
"Oct 17, 2016",97.88,1254.4
"Oct 14, 2016",98.0,1253.1
"Oct 13, 2016",97.52,1255.0
"Oct 12, 2016",97.96,1251.1
"Oct 11, 2016",97.69,1253.0
"Oct 10, 2016",96.93,1257.5
"Oct 07, 2016",96.65,1248.9
"Oct 06, 2016",96.77,1249.8
"Oct 05, 2016",96.11,1265.2
"Oct 04, 2016",96.12,1266.3
"Oct 03, 2016",95.59,1309.0
"Sep 30, 2016",95.39,1313.3
"Sep 29, 2016",95.47,1321.7
"Sep 28, 2016",95.34,1326.95
"Sep 27, 2016",95.31,1325.9
"Sep 26, 2016",95.21,1339.7
"Sep 23, 2016",95.39,1341.55
"Sep 22, 2016",95.38,1340.4
"Sep 21, 2016",95.67,1326.9
"Sep 20, 2016",95.98,1319.25
"Sep 19, 2016",95.77,1317.15
"Sep 16, 2016",96.11,1305.8
"Sep 15, 2016",95.28,1313.5
"Sep 14, 2016",95.32,1321.5
"Sep 13, 2016",95.64,1319.0
"Sep 12, 2016",95.09,1321.0
"Sep 09, 2016",95.33,1330.1
"Sep 08, 2016",95.05,1336.8
"Sep 07, 2016",94.95,1344.3
"Sep 06, 2016",94.82,1349.4
"Sep 05, 2016",95.84,1331.1
"Sep 02, 2016",95.84,1322.1
"Sep 01, 2016",95.66,1312.2
"Aug 31, 2016",96.01,1306.9
"Aug 30, 2016",96.04,1311.7
"Aug 29, 2016",95.54,1322.9
"Aug 26, 2016",95.54,1321.5
"Aug 25, 2016",94.74,1320.1
"Aug 24, 2016",94.75,1324.4
"Aug 23, 2016",94.49,1340.6
"Aug 22, 2016",94.5,1337.7
"Aug 19, 2016",94.48,1340.4
"Aug 18, 2016",94.14,1351.2
"Aug 17, 2016",94.69,1342.7
"Aug 16, 2016",94.76,1350.5
"Aug 15, 2016",95.59,1340.3
"Aug 12, 2016",95.68,1335.8
"Aug 11, 2016",95.84,1342.5
"Aug 10, 2016",95.61,1344.3
"Aug 09, 2016",96.13,1339.0
"Aug 08, 2016",96.34,1333.4
"Aug 05, 2016",96.14,1336.4
"Aug 04, 2016",95.72,1358.8
"Aug 03, 2016",95.53,1356.1
"Aug 02, 2016",94.99,1364.4
"Aug 01, 2016",95.68,1351.4
"Jul 29, 2016",95.49,1349.0
"Jul 28, 2016",96.72,1332.3
"Jul 27, 2016",97.04,1326.6
"Jul 26, 2016",97.17,1320.7
"Jul 25, 2016",97.33,1319.3
"Jul 22, 2016",97.52,1323.1
"Jul 21, 2016",97.05,1330.5
"Jul 20, 2016",97.26,1318.8
"Jul 19, 2016",97.11,1331.5
"Jul 18, 2016",96.59,1328.4
"Jul 15, 2016",96.56,1326.5
"Jul 14, 2016",96.1,1331.3
"Jul 13, 2016",96.21,1342.4
"Jul 12, 2016",96.49,1334.1
"Jul 11, 2016",96.59,1355.0
"Jul 08, 2016",96.33,1356.6
"Jul 07, 2016",96.38,1360.1
"Jul 06, 2016",96.13,1364.9
"Jul 05, 2016",96.26,1356.4
"Jul 04, 2016",95.71,1352.0
"Jul 01, 2016",95.71,1336.7
"Jun 30, 2016",96.2,1318.4
"Jun 29, 2016",95.81,1323.9
"Jun 28, 2016",96.33,1315.3
