Date,Price,Open,High,Low,Vol.,Change %
"Oct 20, 2016",1267.85,1270.85,1275.10,1265.50,-,-0.00%
"Oct 19, 2016",1267.90,1262.90,1271.50,1262.90,-,0.56%
"Oct 18, 2016",1260.80,1260.90,1261.70,1260.90,0.01K,0.51%
"Oct 17, 2016",1254.40,1249.90,1255.00,1249.90,0.04K,0.04%
"Oct 16, 2016",1253.95,1252.00,1254.05,1251.00,-,0.07%
"Oct 14, 2016",1253.10,1253.90,1253.90,1250.60,0.31K,-0.15%
"Oct 13, 2016",1255.00,1258.70,1259.00,1255.20,0.32K,0.31%
"Oct 12, 2016",1251.10,1251.70,1254.00,1251.70,0.13K,-0.15%
"Oct 11, 2016",1253.00,1258.90,1258.90,1253.80,0.03K,-0.36%
"Oct 10, 2016",1257.50,1258.80,1260.40,1256.90,0.03K,-0.37%
"Oct 09, 2016",1262.15,1258.50,1263.70,1258.50,-,1.06%
"Oct 07, 2016",1248.90,1253.90,1263.60,1249.50,0.17K,-0.07%
"Oct 06, 2016",1249.80,1265.30,1265.30,1249.90,0.11K,-1.22%
"Oct 05, 2016",1265.20,1272.10,1274.00,1261.30,0.25K,-0.09%
"Oct 04, 2016",1266.30,1307.60,1310.20,1266.30,1.89K,-3.26%
"Oct 03, 2016",1309.00,1313.50,1316.80,1308.20,0.30K,-0.72%
"Oct 02, 2016",1318.55,1318.00,1321.00,1318.00,-,0.40%
"Sep 30, 2016",1313.30,1320.60,1327.70,1312.90,0.87K,-0.64%
"Sep 29, 2016",1321.70,1321.20,1325.00,1314.70,6.11K,-0.40%
"Sep 28, 2016",1326.95,1330.10,1330.65,1321.00,-,0.08%
"Sep 27, 2016",1325.90,1328.00,1328.70,1327.90,0.05K,-1.03%
"Sep 26, 2016",1339.70,1335.20,1341.80,1335.20,0.02K,-0.20%
"Sep 25, 2016",1342.35,1340.50,1342.75,1340.50,-,0.06%
"Sep 23, 2016",1341.55,1340.95,1344.45,1337.45,-,0.09%
"Sep 22, 2016",1340.40,1338.60,1338.60,1338.20,0.02K,1.02%
"Sep 21, 2016",1326.90,1326.30,1326.30,1324.00,0.08K,0.58%
"Sep 20, 2016",1319.25,1317.05,1321.05,1315.25,-,0.16%
"Sep 19, 2016",1317.15,1314.15,1321.55,1312.65,-,0.23%
"Sep 18, 2016",1314.15,1313.25,1315.75,1312.90,-,0.64%
"Sep 16, 2016",1305.80,1312.20,1312.60,1311.90,0.00K,-0.59%
"Sep 15, 2016",1313.50,1320.70,1320.70,1310.80,0.04K,-0.61%
"Sep 14, 2016",1321.50,1319.20,1322.30,1319.20,0.07K,0.19%
"Sep 13, 2016",1319.00,1324.60,1324.60,1315.00,0.08K,-0.15%
"Sep 12, 2016",1321.00,1327.00,1329.30,1319.90,0.18K,-0.91%
"Sep 11, 2016",1333.15,1331.65,1333.55,1331.05,-,0.23%
"Sep 09, 2016",1330.10,1338.50,1338.50,1328.00,0.04K,-0.50%
"Sep 08, 2016",1336.80,1344.80,1345.40,1335.70,0.03K,-0.56%
"Sep 07, 2016",1344.30,1348.40,1350.50,1343.90,0.01K,-0.38%
"Sep 06, 2016",1349.40,1323.30,1347.20,1323.20,0.05K,1.37%
"Sep 05, 2016",1331.10,1326.35,1332.15,1325.55,-,0.37%
"Sep 04, 2016",1326.25,1328.20,1328.75,1326.15,-,0.31%
"Sep 02, 2016",1322.10,1309.60,1326.70,1309.20,0.06K,0.75%
"Sep 01, 2016",1312.20,1305.30,1313.10,1301.50,0.23K,0.41%
"Aug 31, 2016",1306.90,1310.30,1313.70,1306.30,0.21K,-0.37%
"Aug 30, 2016",1311.70,1322.00,1322.10,1308.00,0.71K,-0.85%
"Aug 29, 2016",1322.90,1315.00,1323.00,1315.00,0.04K,-0.06%
"Aug 28, 2016",1323.75,1323.45,1324.45,1321.65,-,0.17%
"Aug 26, 2016",1321.50,1323.80,1340.50,1320.10,0.14K,0.11%
"Aug 25, 2016",1320.10,1321.40,1324.00,1317.00,0.06K,-0.32%
"Aug 24, 2016",1324.40,1337.20,1337.20,1322.90,0.26K,-1.21%
"Aug 23, 2016",1340.60,1337.00,1341.20,1334.30,0.55K,0.22%
"Aug 22, 2016",1337.70,1334.40,1337.70,1333.30,0.12K,-0.29%
"Aug 21, 2016",1341.55,1345.30,1345.30,1339.25,-,0.09%
"Aug 19, 2016",1340.40,1350.10,1350.10,1338.60,0.20K,-0.80%
"Aug 18, 2016",1351.20,1351.30,1354.40,1348.20,0.14K,0.63%
"Aug 17, 2016",1342.70,1345.50,1347.30,1338.60,0.14K,-0.58%
"Aug 16, 2016",1350.50,1342.20,1355.00,1341.00,0.34K,0.76%
"Aug 15, 2016",1340.30,1336.50,1340.60,1333.60,0.06K,-0.32%
"Aug 14, 2016",1344.55,1341.80,1344.80,1341.80,-,0.66%
"Aug 12, 2016",1335.80,1336.80,1351.80,1333.20,0.11K,-0.50%
"Aug 11, 2016",1342.50,1341.60,1350.40,1334.80,0.67K,-0.13%
"Aug 10, 2016",1344.30,1344.80,1354.20,1344.70,0.11K,0.40%
"Aug 09, 2016",1339.00,1331.80,1339.40,1328.50,0.62K,0.42%
"Aug 08, 2016",1333.40,1330.00,1335.40,1327.80,0.59K,-0.44%
"Aug 07, 2016",1339.30,1341.95,1341.95,1337.35,-,0.22%
"Aug 05, 2016",1336.40,1357.60,1360.80,1333.70,1.11K,-1.65%
"Aug 04, 2016",1358.80,1354.40,1361.60,1347.00,0.38K,0.20%
