Date,Price,Open,High,Low,Vol.,Change %
"Oct 21, 2016",98.68,98.31,98.73,98.30,-,0.38%
"Oct 20, 2016",98.31,97.89,98.40,97.66,-,0.38%
"Oct 19, 2016",97.94,97.91,97.97,97.66,17.94K,0.04%
"Oct 18, 2016",97.90,97.78,97.97,97.60,16.77K,0.02%
"Oct 17, 2016",97.88,98.12,98.15,97.80,15.36K,-0.12%
"Oct 14, 2016",98.00,97.63,98.10,97.52,26.26K,0.49%
"Oct 13, 2016",97.52,98.00,98.12,97.51,28.20K,-0.45%
"Oct 12, 2016",97.96,97.52,98.05,97.47,31.66K,0.28%
"Oct 11, 2016",97.69,96.93,97.75,96.93,29.65K,0.78%
"Oct 10, 2016",96.93,96.52,96.97,96.48,16.36K,0.29%
"Oct 07, 2016",96.65,96.85,97.22,96.41,49.51K,-0.12%
"Oct 06, 2016",96.77,96.14,96.78,96.11,26.14K,0.69%
"Oct 05, 2016",96.11,96.08,96.31,95.94,23.77K,-0.01%
"Oct 04, 2016",96.12,95.67,96.39,95.66,42.19K,0.55%
"Oct 03, 2016",95.59,95.44,95.73,95.39,15.63K,0.21%
"Sep 30, 2016",95.39,95.47,95.89,95.25,32.73K,-0.08%
"Sep 29, 2016",95.47,95.31,95.62,95.25,16.75K,0.14%
"Sep 28, 2016",95.34,95.39,95.66,95.28,14.83K,0.03%
"Sep 27, 2016",95.31,95.25,95.58,95.14,13.88K,0.11%
"Sep 26, 2016",95.21,95.39,95.44,95.02,10.78K,-0.19%
"Sep 23, 2016",95.39,95.31,95.61,95.28,16.22K,0.01%
"Sep 22, 2016",95.38,95.45,95.49,94.95,24.31K,-0.30%
"Sep 21, 2016",95.67,95.94,96.31,95.32,29.37K,-0.32%
"Sep 20, 2016",95.98,95.78,95.98,95.53,16.02K,0.22%
"Sep 19, 2016",95.77,96.03,96.05,95.79,0.67K,-0.35%
"Sep 16, 2016",96.11,95.26,96.12,95.23,14.90K,0.87%
"Sep 15, 2016",95.28,95.34,95.56,95.06,15.65K,-0.04%
"Sep 14, 2016",95.32,95.55,95.66,95.19,29.84K,-0.33%
"Sep 13, 2016",95.64,95.09,95.67,95.08,25.80K,0.58%
"Sep 12, 2016",95.09,95.31,95.45,94.92,31.11K,-0.25%
"Sep 09, 2016",95.33,94.97,95.58,94.82,30.82K,0.29%
"Sep 08, 2016",95.05,94.99,95.14,94.44,33.16K,0.11%
"Sep 07, 2016",94.95,94.82,95.05,94.67,16.52K,0.14%
"Sep 06, 2016",94.82,95.78,95.86,94.75,26.76K,-1.06%
"Sep 05, 2016",95.84,95.88,95.89,95.55,5.05K,0.00%
"Sep 02, 2016",95.84,95.65,95.97,95.17,34.95K,0.19%
"Sep 01, 2016",95.66,96.02,96.25,95.59,19.22K,-0.36%
"Aug 31, 2016",96.01,95.99,96.25,95.89,23.73K,-0.03%
"Aug 30, 2016",96.04,95.52,96.12,95.50,20.77K,0.52%
"Aug 29, 2016",95.54,95.55,95.81,95.44,17.79K,0.00%
"Aug 26, 2016",95.54,94.67,95.58,94.20,41.26K,0.84%
"Aug 25, 2016",94.74,94.76,94.80,94.56,7.78K,-0.01%
"Aug 24, 2016",94.75,94.55,94.87,94.47,13.90K,0.28%
"Aug 23, 2016",94.49,94.55,94.56,94.19,15.64K,-0.01%
"Aug 22, 2016",94.50,94.57,94.94,94.42,13.92K,0.02%
"Aug 19, 2016",94.48,94.18,94.60,94.18,24.05K,0.36%
"Aug 18, 2016",94.14,94.60,94.63,94.05,22.34K,-0.58%
"Aug 17, 2016",94.69,94.76,95.08,94.49,22.95K,-0.07%
"Aug 16, 2016",94.76,95.61,95.61,94.38,29.14K,-0.87%
"Aug 15, 2016",95.59,95.67,95.77,95.42,7.25K,-0.09%
"Aug 12, 2016",95.68,95.90,95.96,95.19,19.04K,-0.17%
"Aug 11, 2016",95.84,95.53,95.91,95.46,9.07K,0.24%
"Aug 10, 2016",95.61,96.08,96.08,95.38,16.39K,-0.54%
"Aug 09, 2016",96.13,96.31,96.47,96.02,12.05K,-0.22%
"Aug 08, 2016",96.34,96.19,96.42,96.09,6.38K,0.21%
"Aug 05, 2016",96.14,95.70,96.50,95.48,24.12K,0.44%
"Aug 04, 2016",95.72,95.49,95.88,95.39,13.79K,0.20%
"Aug 03, 2016",95.53,95.08,95.55,95.08,12.68K,0.57%
"Aug 02, 2016",94.99,95.70,95.81,94.94,21.50K,-0.72%
"Aug 01, 2016",95.68,95.49,95.77,95.46,11.37K,0.20%
"Jul 29, 2016",95.49,96.59,96.70,95.33,35.78K,-1.27%
"Jul 28, 2016",96.72,96.64,96.76,96.25,22.98K,-0.33%
"Jul 27, 2016",97.04,97.17,97.54,96.71,18.21K,-0.13%
"Jul 26, 2016",97.17,97.31,97.34,96.89,10.59K,-0.16%
"Jul 25, 2016",97.33,97.45,97.62,97.25,11.32K,-0.19%
